Name,Website
AGI COMMUNICATIONS PTE LTD,
AGI FREIGHT SINGAPORE PTE LTD,
AGIE CHARMILLES (SOUTH EAST ASIA) PTE LTD,
AGILENT TECHNOLOGIES SINGAPORE (HOLDINGS) PTE LTD,
AGILENT TECHNOLOGIES SINGAPORE (INTERNATIONAL) PTE LTD,
AGILENT TECHNOLOGIES SINGAPORE (SALES) PTE LTD,
AGILENT TECHNOLOGIES SINGAPORE PTE LTD,
AGILENT TECHNOLOGIES SINGAPORE VISION OPERATION PTE LTD,
AGILITY FAIRS & EVENTS LOGISTICS PTE LTD,
AGILITY INTERNATIONAL LOGISTICS PTE LTD,
AGILITY PROJECT LOGISTICS PTE LTD,
AGODA COMPANY PTE LTD,
AGORA INTERNATIONAL TRADING PTE LTD,
AGR SERVICES PTE LTD,
AGRICOM PTE LTD,
AGRICULTURAL BANK OF CHINA LIMITED,
AGRICULTURAL TRACTORS SPARES PTE LTD,
AGRI-FOOD & VETERINARY AUTHORITY OF SINGAPORE,
AGRITRADE INTERNATIONAL (PTE) LTD,
AGRO TECHNIC PTE LTD,
AGROCORP INTERNATIONAL PTE LTD,
AGROHUB COMMODITIES PTE LTD,
AGROLEX PTE LTD,
AH BOON CIVIL ENGINEERING & BUILDING CONTRACTOR PTE LTD,
AH NAM OPTICAL CORPORATION PTE LTD,
AIA SINGAPORE PTE LTD,
AIDA GREATER ASIA PTE LTD,
AIG ASIA PACIFIC INSURANCE PTE LTD,
AIK CHUAN CONSTRUCTION PTE LTD,
AIK FHONG HIN (S) PTE LTD,
AIK HOCK INDUSTRIAL PTE LTD,
AIK HWA TRADING CO (PTE) LTD,
AIK KOON TYRE & BATTERY CO PTE LTD,
AIK LEE INDUSTRIES SUPPLY PTE LTD,
AIK MOH PAINTS & CHEMICALS PTE LTD,
AIK SOON HARDWARE PTE LTD,
AIKYU TRADING CO PTE LTD,
AILY INDUSTRIES,
AIR CHINA LIMITED (SINGAPORE BRANCH),
AIR FRANCE KLM,
AIR INDIA LTD,
AIR LINE PILOTS ASSOCIATION - SINGAPORE,None
AIR MARKET CONTAINER LINES (S) PTE LTD,
AIR MARKET EXPRESS (S) PTE LTD,
AIR MAURITIUS LTD,
AIR POWER RESOURCES PTE LTD,
AIR PRODUCTS SINGAPORE PTE LTD,
AIR SINO-EURO ASSOCIATES TRAVEL PTE LTD,
AIR SYSTEM TECHNOLOGY (S) PTE LTD,
AIR TIGER LOGISTICS (S) PTE LTD,
AIRBUS HELICOPTERS SOUTHEAST ASIA PTE LTD,
AIRELATED ENGINEERING PTE LTD,
AIRELATED SERVICES PTE LTD,
AIRFAST FREIGHT SERVICES PTE LTD,
AIRFOIL TECHNOLOGIES INTERNATIONAL-SINGAPORE PTE LTD,
AIRFREIGHT ALLIANCE PTE LTD,
AIRJET AUTOMOTIVE PTE LTD,
AIRJET INVESTMENTS PTE LTD,
AIROCEAN GROUP PTE LTD,
AIRTECH EQUIPMENT PTE LTD,
AIRTRADE SINGAPORE PTE LTD,
AIRTRADE SYSTEMS PTE LTD,
AIRTROPOLIS EXPRESS (S) PTE LTD,
AISIN ASIA PTE LTD,
A-IT SOFTWARE SERVICES PTE LTD,
AJA REGISTRARS PTE LTD,
AJINOMOTO (SINGAPORE) PTE. LTD.,
AKC ELECTRICAL ENTERPRISE,
AKZO NOBEL PAINTS (SINGAPORE) PTE LTD,
AKZO NOBEL SURFACE CHEMISTRY PTE LTD,
AL DENTE FOOD PTE LTD,
A'LAND EXPRESS PTE LTD,
ALBEDO LIMITED,
ALBEMARLE SINGAPORE PTE LTD,
ALBERT HOO ELECTRICAL PTE LTD,
ALBERT LAM STUDIO,
ALBUM INVESTMENT PTE LTD,
ALBUM RESOURCES PTE LTD,
ALDON TECHNOLOGIES SERVICES PTE LTD,
ALENT SINGAPORE PTE LTD,
ALERT DISASTER CONTROL (ASIA) PTE LTD,
ALEX GROUP EMPLOYMENT SERVICES PTE LTD,
ALEXANDRA HEALTH PTE LTD,
ALF GLOBAL PTE LTD,
ALF SINGAPORE HOLDINGS PTE LTD,
ALFA CREDIT PTE LTD,
ALFA LAVAL SINGAPORE PTE LTD,
ALFRED TAN & CO,
ALIGENT SPRING PTE LTD,
ALIMAK HEK PTE LTD,
A-LINK SYSTEM PTE LTD,
ALKANAAH INTERNATIONAL TOURS & TRAVEL PTE LTD,
ALKEM COMPANY (SINGAPORE) PRIVATE LIMITED,
ALKEMAL SINGAPORE PTE LTD,
ALL NIPPON AIRWAYS CO LTD,
ALL WATCHES PTE LTD,
ALLALLOY DYNAWELD PTE LTD,
ALLALLOY PTE LTD,
ALL-BEST PHOTOCOPY & PRINTING,
ALLEN & GLEDHILL LLP,
ALLEN & OVERY LLP,
ALLENS PTE LTD,
ALLES AUTOS CREDIT PTE LTD,
ALLGREEN PROPERTIES LIMITED,
ALLIANCE CHEMICALS PTE LTD,
ALLIANCE DIVINE IMPEX PTE LTD,
ALLIANCE ENTERTAINMENT SINGAPORE PTE LTD,
ALLIANCE MEDICAL GROUP PTE LTD,
ALLIANCE ONE INTERNATIONAL SINGAPORE PTE LTD,
ALLIANCEBERNSTEIN (SINGAPORE) LTD,
ALLIANTZ FLEXIBLE PACKAGING PTE LTD,
ALLIANZ SE REINSURANCE BRANCH ASIA PACIFIC,
ALLIED DEVICES (S) PTE LTD,
ALLIED EPARTS PTE LTD,
ALLIED MOVING SERVICES (S) PTE LTD,
ALLIED SPECIALTY COMPOUNDS PTE LTD,
ALLIED TECHNOLOGIES LIMITED,
ALLIED TELESIS INTERNATIONAL (ASIA) PTE LTD,
ALL-LINK FREIGHT PTE LTD,
ALLOYS INTERNATIONAL (PTE) LTD,
ALLSLAND PTE LTD,
ALLSWELL FOODS PTE LTD,
ALLTOOLS TRADING PTE LTD,
ALLTRUST INTERNATIONAL PTE LTD,
ALL-WARES SUPPLY PTE LTD,
ALL-WELL TRADING & TRANSPORTATION PTE LTD,www.bricks.com.sg
ALMANAC MARITIME PTE LTD,
ALPHA ADVANCED MATERIALS,
ALPHA ANALYTICAL (S) PTE LTD,
ALPHA BUSINESS SOLUTIONS (PTE) LTD,www.abs.com.sg
ALPHA CONSULTING & TRAINING PTE LTD,www.alphact.com.sg
ALPHA CONSULTING ENGINEERS PTE LTD,
ALPHA CORE PLUS REAL ESTATE FUND PTE LTD,
ALPHA FILING & COMPUTER MEDIA SUPPLIES,
ALPHA LAW LLC,
ALPHA METALS & MARKETING PTE LTD,
ALPHA METALS SINGAPORE (A DIVISION OF COOKSON SINGAPORE PTE LTD),
ALPHA PIONEER ENTERPRISES PTE LTD,
ALSTOM TRANSPORT (S) PTE LTD,
ALTECO CHEMICAL PTE LTD,
ALTUS LOGISTICS PTE LTD,
ALUMINIUM OFFSHORE PTE LTD,
ALVIN SPORTS ENTERPRISE,
AM AEROSPACE SUPPLIES PTE LTD,
AMADA SINGAPORE (1989) PTE LTD,
AMALGAMATED APPRAISAL CONSULTANTS PTE LTD,
AMARA HOLDINGS LIMITED,
AMARA HOTEL PROPERTIES PTE LTD,
AMARA SINGAPORE,
AMB PACKAGING PTE LTD,
AMBASSADOR TRANSIT HOTEL (TERMINAL ONE),
AMBASSADOR TRANSIT HOTEL (TERMINAL TWO),
AMCAN IMPEX PTE LTD,
AMCHAM SINGAPORETHE AMERICAN CHAMBER OF COMMERCE,
AMCOR INSURANCES PTE LTD,
AMCOR SINGAPORE PTE LTD,
AMCOR TOBACCO PACKAGING SINGAPORE PTE LTD,
AMCROTECH PTE LTD,
AMECH MARINE PTE LTD,
AMERICAN BUREAU OF SHIPPING,
AMERICAN EQUIPMENT SERVICES PTE LTD,
AMERICAN EXPRESS INTERNATIONAL INC,
AMERICAN INTERNATIONAL INDUSTRIES (PTE) LTD,
AMERICAN LLOYD TRAVEL SERVICES PTE LTD,
AMERICAN PACKING INDUSTRIES (S) PTE LTD,
AMERICAYA (SINGAPORE) PTE LTD,
AMEROID LOGISTICS (S) PTE LTD,
AMEROPA ASIA PTE LTD,
AMG LOGISTICS PTE LTD,
AMICO TECHNOLOGY INTERNATIONAL PTE LTD,
AMKOR TECHNOLOGY SINGAPORE HOLDING PTE LTD,
AM-MART (S) PTE LTD,
AMMERAAL BELTECH PTE LTD,
AMNET TECHNOLOGY PTE LTD,
AMOLAT & PARTNERS,
AMORE FITNESS PTE LTD,
AMOS INTERNATIONAL (S) PTE LTD,
AMOY CANNING CORPORATION (S) LTD,
AMPIRES HOLDINGS PTE LTD,
AMPLUS COMMUNICATION PTE LTD,
AMPTRON INSTRUMENTS PTE LTD,
AMPWAY INDUSTRIES PTE LTD,
AMROCK ENGINEERING (FAR EAST) PTE LTD,
AMS SYSTEM SERVICES PTE LTD,
AMSBACH MARINE (S) PTE LTD,
AMSTEL FINANCIAL SERVICES (S) PTE LTD,
AMTEK ENGINEERING LTD,
AMTEK PRECISION TECHNOLOGY PTE LTD,
AMX ENGINEERING PTE LTD,
ANACHEM TECHNOLOGIES (S) PTE LTD,
ANALYTICAL LABORATORIES (S) PTE LTD,
ANBROS INDUSTRIES (S) PTE LTD,
ANCHOR MARINE SUPPLIES PTE LTD,
ANCHORAGE VIEW PTE LTD,
ANDA INSURANCE AGENCIES PTE LTD,
ANDA INTERNATIONAL PTE LTD,
ANDER MARKETING,
ANDERCO PTE LTD,
ANDERSEN SHIPPING CO PTE LTD,
ANDREW CLEANING SERVICES PTE LTD,
ANDREW TAN TIONG GEE & CO,
ANDY HANG HARDWARE & MACHINERY PTE LTD,
ANEWTECH SYSTEMS PTE LTD,
ANFIELD COMPONENTS PTE LTD,
ANG LEONG HUAT PTE LTD,
ANG TONG SENG BROTHERS ENTERPRISES PTE LTD,
ANG TOON CHEW & SONS PTE LTD,
ANGELA WONG & CO,
ANGKASA AMSTEEL PTE LTD,
ANGLES WORLD PTE LTD,
ANGLISS SINGAPORE PTE LTD,
ANGLO CONTINENTAL COMPANY PTE LTD,
ANIXTER SINGAPORE PTE LTD,
ANJALI IYER & ASSOCIATES,
ANJANEYA TRADING PTE LTD,
ANKERITE PTE LTD,
ANL SINGAPORE PTE LTD,
ANN TAI PTE LTD,
ANNAIK LIMITED,
ANNICA HOLDINGS LTD,
ANNONA PTE LTD,
ANS IMPORT & EXPORT PTE LTD,
ANSON CO (PTE) LTD,
ANTALIS (SINGAPORE) PTE LTD,
ANTARA KOH PTE LTD,
ANTZ LATEX PTE LTD,
AN-V LABELS & STICKERS PTE LTD,
ANW PTE LTD,
AON SINGAPORE PTE LTD,
AP OIL INTERNATIONAL LIMITED,
APBCOFFICES PTE LTD,
APC ASIA PACIFIC CARGO (S) PTE LTD,
APEIRON AGROCOMMODITIES PTE LTD,
APEX CHEMICALS (S) PTE LTD,
APEX COSMECEUTICAL INDUSTRY PTE LTD,
APEX PHARMA MARKETING PTE LTD,
APEX TECHNOLOGIES INTERNATIONAL PTE LTD,
APL CO PTE LTD,
APL LOGISTICS LTD,
APLUSI ASIA PTE LTD,
APOLLO AQUARIUM PTE LTD,
APOLLO INVESTMENT (S) PTE LTD,
APOSTROPHE FILMS PTE LTD,
APOTHECA MARKETING PTE LTD,
A-POWER ENGINEERING PTE LTD,
APPLE POLYPRINT PTE LTD,
APPLE SOUTH ASIA PTE LTD,
APPLIED ENGINEERING PTE LTD,
APPLIED LOGISTICS PTE LTD,www.appliedmovers.com
APPLIED MATERIALS SOUTH EAST ASIA PTE LTD,
APPLIED OFFICE SYSTEMS AND SUPPLIES,
APPLIED PRECISION PTE LTD,
APPLUS RTD PTE LTD,www.ApplusRTD.com
APRIL FINE PAPER HOLDINGS PTE LTD,
APRIL FINE PAPER TRADING PTE LTD,
APRO ASIAN PROTECTION PTE LTD,
APRO TECHNOLOGY PTE LTD,
APS ASSET MANAGEMENT PTE LTD,
APS ELECTRONICS PTE LTD,
APS LIFESTYLE MARKETING PTE LTD,
APTINA PTE LTD,
APTUS LAW CORPORATION,
AQUABLU POOLS PTE LTD,
AQUAMARINA HOTEL PTE LTD,
AQUA-MECH ENGINEERING PTE LTD,
AQUANAUTIC AGENCIES PTE LTD,
AQUARIUM IWARNA PTE LTD,
AQUARIUM LIBERTY (PTE) LTD,
AQUARIUS INVESTMENT ADVISORS PTE LTD,
ARA ASSET MANAGEMENT (S) LIMITED,
ARAB BANK PLC,
ARAMO SHIPPING (SINGAPORE) PTE LTD,
ARC MARINE PTE LTD,
ARCADE PLAZA TRADERS PTE LTD,
ARCELORMITTAL SINGAPORE PTE LTD,
ARCH CHEMICALS SINGAPORE PTE LTD,
ARCH HERITAGE COLLECTION PTE LTD,
ARCHER DANIELS MIDLAND SINGAPORE PTE LTD,
ARCHILEX LAW CORPORATION,
ARCHIPELAGO RUBBER TRADING PTE LTD,
ARCHITECTS 61 PTE LTD,
ARCHITECTS TEAM 3 PTE LTD,
ARCHITECTS VISTA PTE LTD,
ARCO MARKETING PTE LTD,
ARDEN MARKETING PTE LTD,
ARDILLE PTE LTD,
ARGON CRITICAL CARE SYSTEMS SINGAPORE PTE LTD,
ARIDAS & ASSOCIATES,
ARISTA INTERIOR DECOR PTE LTD,
ARKEMA PTE LTD,
ARK-HITECTURE PTE LTD,
ARKOS TRADING PTE LTD,
ARMAJARO SINGAPORE PTE LTD,
ARMIX MARKETING PTE LTD,
ARMOR INTERNATIONAL,
ARMSTRONG ENGINEERING PTE LTD,
ARMSTRONG INDUSTRIAL CORPORATION LIMITED,
ARMSTRONG RUBBER MANUFACTURING PTE LTD,
ARP HOLDINGS PTE LTD,
ARRAY ENGINEERING & CONSTRUCTION PTE LTD,
ARROW ELECTRONICS (S) PTE LTD,
ARROW ELECTRONICS ASIA (S) PTE LTD,
ARTHESDAM JEWELLERY PTE LTD,
ARTIFELA DESIGN,
ARTWIN PRINTING,
ARUL CHEW & PARTNERS,
ARVEE INTERNATIONAL PTE LTD,
ARYAN (SEA) PRIVATE LIMITED,
ASAHI KASEI PLASTICS SINGAPORE PTE LTD,
ASAS STEEL PTE LTD,
ASATSU-DK SINGAPORE PTE LTD,
ASCENDAS (TUAS) PTE LTD,
ASCENDAS FUNDS MANAGEMENT (S) LTD,
ASCENDAS LAND (SINGAPORE) PTE LTD,
ASCENDAS LAND INTERNATIONAL PTE LTD,
ASCENDAS PTE LTD,
ASCENDAS SERVICES PTE LTD,
ASCENSIA ACADEMY PTE LTD,
ASCOTT INTERNATIONAL MANAGEMENT PTE LTD,
ASCUS INTERNATIONAL (S) PTE LTD,
ASDEW ACQUISITIONS PTE LTD,
ASE SINGAPORE PTE LTD,
ASE TECHNOLOGY PTE LTD,
ASEAN CABLESHIP PTE LTD,
ASEAN FINANCE CORPORATION LTD,
ASHCROFT INSTRUMENTS SINGAPORE PTE LTD,
ASHLAND SINGAPORE PTE LTD,
ASIA AGRICULTURAL HOLDINGS PTE LTD,
ASIA BUSINESS CONVENTIONS PTE LTD,
ASIA CANNING MANUFACTURING (S) PTE LTD,
ASIA CAPITAL REINSURANCE GROUP PTE LTD,
ASIA CEMENT (SINGAPORE) PTE LTD,
ASIA CHEMICALS TRADING PTE LTD,
ASIA DUCTILE CAST IRON FOUNDRY PTE LTD,
ASIA ENTERPRISES (PTE) LTD,
ASIA ENTERPRISES HOLDING LTD,
ASIA FOOD & PROPERTIES LTD,
ASIA FOUNDRY & ENGINEERING PTE LTD,
ASIA GALVANIZING (S) PTE LTD,www.asiagalvanizing.com
ASIA GLOBAL VACATION PTE LTD,
ASIA HEALTHPARTNERS PTE LTD,
ASIA HEAT TREATMENT PTE LTD,
ASIA INTERNATIONAL PTE LTD,
ASIA METAL INDUSTRIES PTE LTD,
ASIA MOBILE HOLDINGS PTE LTD,
ASIA NEXUS PTE LTD,
ASIA ORCHIDS PTE LTD,
ASIA PACIFIC BREWERIES (SINGAPORE) PTE LTD,
ASIA PACIFIC INVESTMENT PTE LTD,
ASIA PACIFIC RESEARCH CENTRE,
ASIA PAINT (SINGAPORE) PTE LTD,
ASIA POLYURETHANE MFG PTE LTD,
ASIA POWER CORPORATION LTD,
ASIA PROJECTS ENGINEERING PTE LTD,
ASIA RADIO 2000 PTE LTD,
ASIA RECYCLING RESOURCES PTE LTD,
ASIA RESOURCE CORPORATION PTE LTD,
ASIA RESOURCE PARTNERS PTE LTD,
ASIA SYMBOL RIZHAO PTE LTD,
ASIA TECHNICAL GAS CO PTE LTD,
ASIA WIRING SYSTEMS PTE LTD,
ASIA-BENI STEEL INDUSTRIES (PTE) LTD,
ASIABUILD CONSTRUCTION PTE LTD,
ASIA-EURO HOLIDAYS PTE LTD,
ASIAGLOBE TRADE CONSORTIUM PTE LTD,
ASIAGROUP LEASING PTE LTD,
ASIAMEDIC LIMITED,
ASIAN FOODS DISTRIBUTOR PTE LTD,
ASIAN JEWELLERY PTE LTD,
ASIAN MICRO (S) PTE LTD,
ASIAN MICRO HOLDINGS LTD,
ASIAN PRINTING EQUIPMENT CENTRE PTE LTD,
ASIAN SEALAND ENGINEERING PTE LTD,
ASIAN STEEL COMPANY LTD,
ASIAN SURFACE TECHNOLOGIES PTE LTD,
ASIAN TRADE PRESS PTE LTD,
ASIANA AIRLINES,
ASIANSUN ENTERPRISES PTE LTD,
ASIAPAC DISTRIBUTION PTE LTD,
ASIAPAC RECYCLING PTE LTD,
ASIAPAC SONIC EXCEL PTE LTD,
ASIA-PACIFIC SHIPYARD PTE LTD,
ASIAROOMS PTE LTD,
ASIASAT COMMUNICATION PTE LTD,
ASIATIC AGRICULTURAL INDUSTRIES PTE LTD,
ASIATIC ENGINEERING (PTE) LTD,
ASIATIC FIRE SYSTEM PTE LTD,
ASIATIC GROUP (HOLDINGS) LTD,
ASIATRAVEL.COM HOLDINGS LTD,
ASIAT-SHIRT.COM PTE LTD,
ASIAWIDE HOLDINGS PTE LTD,
ASIS TECHNOLOGIES PTE LTD,
ASJ PTE LTD,
ASL MARINE HOLDINGS LTD,
ASL SHIPYARD PTE LTD,
ASM TECHNOLOGY SINGAPORE PTE LTD,
ASMECH TECHNOLOGY PTE LTD,
A-SONIC AEROSPACE LIMITED,
A-SONIC CARGOPLUS PTE LTD,
A-SONIC LOGISTICS PTE LTD,
ASPAC AIRCARGO SERVICES PTE LTD,
ASPAC F & B PTE LTD,
ASPASIA TRADE PTE LTD,
ASPIAL CORPORATION LIMITED,
ASR MARINE & TRADING PTE LTD,
ASSA ABLOY ENTRANCE SYSTEMS SINGAPORE PTE LTD,
ASSA ABLOY SINGAPORE PTE LTD,
ASSAB PACIFIC PTE LTD,
ASSAB STEELS SINGAPORE PTE LTD,
ASSOBUILD REALTY PTE LTD,
ASSOCIATED PACKAGING INDUSTRIES PTE LTD,
ASSOCIATED PROPERTY CONSULTANTS PTE LTD,
ASSOCIATED RENTAL TOOLS CO PTE LTD,
ASSOCIATION OF AEROSPACE INDUSTRIES (SINGAPORE),
"ASSOCIATION OF BANKS IN SINGAPORE, THE",
ASSOCIATION OF PROPERTY & FACILITY MANAGERS (APFM),
ASSOCIATION OF SINGAPORE MARINE INDUSTRIES,
ASSOCIATION OF SMALL & MEDIUM ENTERPRISES (ASME),
ASSURICH INDUSTRIES PTE LTD,
ASTEC TECHNOLOGY PTE LTD,
ASTERI CONSULTING PTE LTD,
ASTI HOLDINGS LTD,
ASTON AIR CONTROL PTE LTD,
ASTON MARTIN LAGONDA (SEA) PTE LTD,
ASTON PACKAGING PTE LTD,
ASTORIA FLORAL DESIGN & LANDSCAPE PTE LTD,
ASTRA OIL CO PTE LTD,
ASTRABON (S) PTE LTD,
ASTRALINK TECHNOLOGY PTE LTD,
